Contract,school_id,report_school_id,school_name,location,student_response_rate,teacher_response_rate,student_n,teacher_n,acno,cdis,clar,colb,colr,data,emhl,engg,engl,futr,grit,humr,inf3,innv,ins3,math,peer,perc,pgmc,pnfl,pres,prs2,prt4,prti,pssm,qpd2,refd,rigr,safe,scie,scmt,sdis,slap,socz,ssaf,stdy,trpa,trpr,trte,trts,tsaf,uexp,E_ldr,E_tch,E_fam,E_env,E_ins,Category5E,net5e
ISBE,3753,070161630022008,21st Century Primary Center,240 S Orchard Dr Park Forest IL 60466,0,56.5,2,23,,76,,96,83,99,,,,,,,49,93,96,,,,78,93,,,61,46,,93,99,,,,59,99,,99,,,50,63,99,,40,,72,86,68,,,5,3
ISBE,1818,500821870261014,7th Grade Academy,1900 Mousette Ln Cahokia IL 62206,52.2,50,232,18,53,8,7,,9,,2,99,69,,31,24,31,1,33,67,19,54,61,19,68,29,,1,26,57,26,25,1,30,21,4,,40,17,34,28,36,50,37,1,,40,34,24,36,52,1,-3
ISBE,1819,500821870261015,8th Grade Academy,1900 Mousette Ln Cahokia IL 62206,90.2,85,246,20,23,1,1,2,1,47,20,44,49,,20,14,18,1,9,44,4,18,41,3,42,16,1,1,13,22,1,1,1,10,1,1,,1,25,17,1,39,1,27,1,,27,5,2,17,34,1,-5
ISBE,2027,070162180160007,A B Shepard High Sch (Campus),13049 S Ridgeland Ave Palos Heights IL 60463,78.3,70.9,1741,182,73,70,66,61,41,63,39,86,57,28,28,59,16,42,45,61,60,70,45,57,60,49,40,56,40,64,55,46,40,66,50,50,61,99,45,61,51,44,47,79,41,36,38,53,49,54,57,2,-1
ISBE,4036,060160960022001,A F Ames Elem School,86 Southcote Rd Riverside IL 60546,99.9,80,134,40,89,87,,56,57,80,,,90,,,,48,80,42,89,,68,72,76,71,,72,52,,60,69,,68,,61,97,,99,,,85,46,55,83,58,,52,58,78,77,87,5,3
ISBE,1450,340491870262008,A J Katzenmaier Academy,1829 Kennedy Dr North Chicago IL 60064,54.5,99.9,396,30,69,45,,55,44,66,,,99,,,,37,32,90,79,,87,77,39,88,,21,28,,76,77,,29,,43,30,,78,,,18,74,55,58,5,,70,55,26,61,74,4,2
ISBE,2984,560990860052011,A O Marshall Elem School,319 Harwood St Joliet IL 60432,99.9,97,149,33,99,84,,57,8,73,,,86,,,,25,10,12,70,,77,37,22,72,,33,30,,37,27,,54,,1,31,,63,,,26,4,16,97,17,,20,24,27,82,65,2,-1
ISBE,4590,56099365U261003,A Vito Martinez Middle School,590 Belmont Dr Romeoville IL 60446,93.6,82.5,793,63,46,62,37,73,42,99,45,73,81,,9,51,40,38,45,99,57,44,35,39,61,31,15,29,40,47,73,34,28,74,35,43,,99,63,39,34,34,36,54,46,,39,47,29,43,71,2,-1
ISBE,4236,310450460221003,Abbott Middle School,949 Van St Elgin IL 60123,99.6,99.9,685,41,19,40,18,37,30,49,11,56,54,,1,37,48,1,27,57,19,29,46,60,40,20,4,28,14,37,40,2,16,67,19,29,,92,39,19,13,40,52,37,2,,40,35,26,25,45,1,-3
ISBE,2034,060160990022006,Abe Lincoln Elem School,3545 S 61st Ave Cicero IL 60804,77.7,87.1,390,85,86,81,67,92,50,54,72,73,84,,21,54,34,36,52,82,83,82,50,46,69,67,57,51,80,69,69,86,59,68,46,55,,96,81,55,66,37,50,88,64,,43,61,56,79,73,5,3
ISBE,1462,330482760260001,Abingdon-Avon High Sch,600 W Martin St Abingdon IL 61410,73.3,68.4,258,19,24,51,8,34,61,32,1,39,13,1,1,59,39,26,18,25,14,27,54,33,19,34,43,54,23,39,59,9,33,35,54,42,24,49,33,40,26,63,43,50,44,28,44,46,34,34,25,1,-3
ISBE,1463,330482760261001,Abingdon-Avon Middle Sch,320 E Woods St Avon IL 61415,80.3,69.2,228,26,23,79,27,18,22,11,34,80,40,,26,60,43,4,34,68,29,39,43,41,49,49,19,44,35,21,1,10,29,55,36,19,,31,46,33,23,47,32,60,44,,42,26,28,38,44,1,-3
ISBE,1652,500821180022001,Abraham Lincoln Elem School,820 Royal Heights Rd Belleville IL 62226,88.5,77.4,260,31,82,47,71,51,41,48,39,69,60,,63,52,48,41,33,70,42,69,41,33,66,78,43,38,67,49,63,61,37,28,17,49,,99,48,57,47,50,43,69,13,,43,40,41,64,61,4,2
ISBE,2674,190220410022001,Abraham Lincoln Elem School,380 Greenfield Ave Glen Ellyn IL 60137,93,81.3,171,48,89,97,,80,61,70,,,80,,,,45,51,51,99,,77,70,64,94,,90,88,,55,79,,74,,47,71,,65,,,99,61,51,92,48,,57,59,84,83,86,5,3
ISBE,3624,060160970022007,Abraham Lincoln Elem School,1111 S Grove Ave Oak Park IL 60304,99.9,96.7,215,61,68,79,,21,38,42,,,38,,,,23,33,7,49,,49,14,34,61,,71,36,,17,37,,51,,11,30,,59,,,49,15,34,62,16,,15,24,51,58,45,2,-2
ISBE,4086,041012050251009,Abraham Lincoln Middle School,1500 Charles St Rockford IL 61104,84.9,63.9,663,61,34,68,21,31,40,85,18,64,57,,9,22,50,11,53,77,22,28,54,32,48,11,1,42,17,38,33,6,11,48,44,38,,57,44,21,21,48,47,36,30,,51,40,18,27,55,2,-2
ISBE,1465,010092620262001,A-C Central Elementary School,191 S Bluff St Chandlerville IL 62627,0,30,24,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
ISBE,1466,010092620260002,A-C Central High School,PO Box 260 Ashland IL 62612,69.3,83.3,127,18,50,76,40,17,36,36,2,70,57,1,8,72,30,33,36,53,48,52,50,19,52,34,23,80,36,31,40,14,48,58,20,59,29,99,50,36,26,55,55,46,49,29,43,32,23,38,55,1,-3
ISBE,1467,010092620261002,A-C Central Middle School,PO Box 260 Ashland IL 62612,77,99.9,113,11,37,60,1,11,18,28,30,25,17,,17,59,52,1,14,60,14,1,32,26,43,9,22,62,27,17,2,1,41,58,26,12,,95,47,34,16,55,23,40,42,,38,19,21,30,33,1,-5
ISBE,44565,090100040263019,ACTIONS Program,1103 N Neil St Champaign IL 61820,0,57.1,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
ISBE,3157,170540270022003,Adams Elem School,1311 Nicholson Rd Lincoln IL 62656,0,83.3,0,18,,,,1,71,19,,,,,,,47,75,69,,,,55,63,,,56,,,51,65,,,,86,,,78,,,78,81,60,,57,,63,54,66,,,4,2
ISBE,3243,211000020262003,Adams School,15470 Lake of Egypt Rd Creal Springs IL 62922,92.1,88,127,25,41,76,13,10,73,28,50,20,64,,24,59,33,63,37,32,68,45,61,45,47,67,59,57,53,54,34,26,62,41,66,43,,98,75,29,63,66,76,65,55,,49,56,56,53,47,3,0
ISBE,42744,190220040023002,Addison Early Learning Center,650 S Ardmore Ave Addison IL 60101,0,82.8,0,29,,,,5,22,18,,,,,,,49,24,70,,,,65,82,,,65,,,73,63,,,,51,,,89,,,63,63,45,,47,,62,39,70,,,4,1
ISBE,2362,190220880160001,Addison Trail High,213 N Lombard Rd Addison IL 60101,99.9,65.9,1986,176,82,67,57,70,49,68,48,78,57,25,11,55,24,47,49,58,78,63,55,72,50,43,43,57,49,77,58,39,38,67,61,46,60,99,63,62,57,34,56,83,48,51,41,63,57,58,53,4,1
ISBE,1476,340491250130001,Adlai E Stevenson High,1 Stevenson Dr Lincolnshire IL 60069,88.3,67.2,4199,396,96,94,62,77,66,65,71,81,78,37,27,77,36,67,64,69,99,67,60,86,69,70,85,72,73,77,77,57,59,70,58,87,74,99,81,97,95,43,62,96,78,95,51,68,89,81,76,5,4
ISBE,4191,050160540042028,Adlai Stevenson Elem School,1414 Armstrong Ln Elk Grove Village IL 60007,92,95.1,239,41,76,71,63,77,70,57,62,56,75,,19,70,39,73,54,68,68,70,77,60,80,55,62,54,89,87,98,63,63,50,60,57,,99,92,47,72,61,62,86,41,,58,71,65,74,70,5,4
ISBE,3146,340490700022007,Adler Park School,1740 N Milwaukee Ave Libertyville IL 60048,95,99.9,100,25,74,93,,58,91,31,,,11,,,,50,68,74,63,,53,70,80,47,,90,88,,55,56,,76,,83,95,,99,,,95,88,90,86,56,,71,75,88,72,54,5,4
ISBE,2086,050160590042002,Adm Richard E Byrd Elem School,265 Wellington Ave Elk Grove Village IL 60007,99.9,99.9,137,34,93,83,,29,51,66,,,72,,,,36,60,54,70,,81,32,52,67,,41,39,,42,55,,46,,43,28,,99,,,41,57,51,99,40,,45,43,45,80,59,4,1
ISBE,4192,050160540042023,Adolph Link Elem School,900 W Glenn Trl Elk Grove Village IL 60007,88.7,86.7,265,45,73,99,40,73,70,55,60,53,52,,21,66,44,76,72,76,81,68,88,78,62,72,85,81,49,99,90,62,54,16,72,99,,99,84,55,99,80,58,80,59,,71,74,87,69,72,5,5
ISBE,1477,210280910042001,Akin Comm Cons Elem School,21962 Akin Blacktop Akin IL 62890,89.4,91.7,47,12,84,86,68,1,81,56,37,70,51,,23,68,39,53,23,48,38,78,64,21,70,71,68,75,67,64,63,45,46,40,82,47,,56,77,23,61,54,67,69,63,,45,59,50,69,54,4,1
ISBE,1753,320460530022003,Alan B Shepard Elem School,325 N Convent St Bourbonnais IL 60914,95.2,89.8,105,49,69,63,,1,63,31,,,41,,,,45,49,44,66,,69,53,65,72,,53,40,,49,42,,51,,72,42,,99,,,49,58,62,84,35,,50,49,56,68,55,4,1
ISBE,2277,340491090021005,Alan B Shepard Middle School,440 Grove Ave Deerfield IL 60015,92,76.8,497,56,87,83,31,52,72,61,66,83,60,,43,79,52,61,29,97,92,55,34,77,87,68,59,70,71,38,54,22,63,67,65,69,,99,99,67,90,47,78,57,63,,41,61,75,66,78,5,4
ISBE,1478,130140630022001,Albers Elem School,PO Box 104 Albers IL 62215,99.1,0,106,0,65,,46,,,,57,40,51,,41,97,,,,43,59,41,,,55,92,,,71,,,16,58,38,,,,,84,86,,,,46,,,,,,53,50,3,0
ISBE,2436,410570070262012,Albert Cassens Elementary,1014 Glen Crossing Rd Glen Carbon IL 62034,95.2,71.9,333,32,91,86,,1,23,17,,,51,,,,41,39,39,63,,76,46,29,66,,52,52,,6,12,,61,,41,74,,78,,,55,35,45,94,50,,40,23,45,81,64,4,1
ISBE,4193,050160540042026,Albert Einstein Elem School,1100 Laurie Ln Hanover Park IL 60133,89.7,75.9,223,54,81,39,71,81,64,65,58,68,99,,32,59,39,52,50,97,67,90,67,53,86,69,54,59,78,83,95,82,60,30,47,56,,99,96,44,55,52,44,90,30,,52,64,54,80,85,5,3
ISBE,2433,200240010262001,Albion Grade School,361 W Main St Albion IL 62806,93.2,95,234,40,51,75,29,18,31,24,52,38,26,,34,73,37,29,28,35,70,30,50,15,41,59,46,58,66,52,20,18,59,28,65,44,,36,84,47,56,45,51,68,40,,40,43,39,52,37,2,-2
ISBE,1479,440630190242001,Alden Hebron Elem School,11915 Price Rd Hebron IL 60034,99.9,96.5,60,29,69,68,,33,29,64,,,46,,,,44,5,51,48,,56,52,49,56,,51,47,,40,27,,43,,28,41,,99,,,17,47,32,70,47,,49,32,39,60,48,2,-1
